,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class_versicolor,class_virginica
0,5.1,3.5,1.4,0.2,False,False
1,4.9,3.0,1.4,0.2,False,False
2,4.7,3.2,1.3,0.2,False,False
3,4.6,3.1,1.5,0.2,False,False
4,5.0,3.6,1.4,0.2,False,False
5,5.4,3.9,1.7,0.4,False,False
6,4.6,3.4,1.4,0.3,False,False
12,4.8,3.0,1.4,0.1,False,False
13,5.7,3.0,1.1,0.1,False,False
14,5.8,4.0,1.2,0.2,False,False
15,5.7,4.4,1.5,0.4,False,False
16,5.4,3.9,1.3,0.4,False,False
17,5.1,3.5,1.4,0.3,False,False
18,5.7,3.8,1.7,0.3,False,False
19,5.1,3.8,1.5,0.3,False,False
20,5.4,3.4,1.7,0.2,False,False
21,5.1,3.7,1.5,0.4,False,False
22,4.6,3.6,1.0,0.2,False,False
23,5.1,3.3,1.7,0.5,False,False
24,4.8,3.4,1.9,0.2,False,False
25,5.0,3.0,1.6,0.2,False,False
26,5.0,3.4,1.6,0.4,False,False
27,5.2,3.5,1.5,0.2,False,False
28,5.2,3.4,1.4,0.2,False,False
29,4.7,3.2,1.6,0.2,False,False
30,4.8,3.1,1.6,0.2,False,False
31,5.4,3.4,1.5,0.4,False,False
32,5.2,4.1,1.5,0.1,False,False
33,5.5,4.2,1.4,0.2,False,False
34,4.9,3.1,1.5,0.1,False,False
35,5.0,3.2,1.2,0.2,False,False
36,5.5,3.5,1.3,0.2,False,False
37,4.9,3.1,1.5,0.1,False,False
38,4.4,3.0,1.3,0.2,False,False
39,5.1,3.4,1.5,0.2,False,False
40,5.0,3.5,1.3,0.3,False,False
41,4.5,2.3,1.3,0.3,False,False
42,4.4,3.2,1.3,0.2,False,False
43,5.0,3.5,1.6,0.6,False,False
44,5.1,3.8,1.9,0.4,False,False
45,4.8,3.0,1.4,0.3,False,False
46,5.1,3.8,1.6,0.2,False,False
47,4.6,3.2,1.4,0.2,False,False
48,5.3,3.7,1.5,0.2,False,False
49,5.0,3.3,1.4,0.2,False,False
50,7.0,3.2,4.7,1.4,True,False
51,6.4,3.2,4.5,1.5,True,False
52,6.9,3.1,4.9,1.5,True,False
53,5.5,2.3,4.0,1.3,True,False
54,6.5,2.8,4.6,1.5,True,False
55,5.7,2.8,4.5,1.3,True,False
56,6.3,3.3,4.7,1.6,True,False
57,4.9,2.4,3.3,1.0,True,False
58,6.6,2.9,4.6,1.3,True,False
59,5.2,2.7,3.9,1.4,True,False
60,5.0,2.0,3.5,1.0,True,False
61,5.9,3.0,4.2,1.5,True,False
62,6.0,2.2,4.0,1.0,True,False
63,6.1,2.9,4.7,1.4,True,False
64,5.6,2.9,3.6,1.3,True,False
65,6.7,3.1,4.4,1.4,True,False
66,5.6,3.0,4.5,1.5,True,False
67,5.8,2.7,4.1,1.0,True,False
68,6.2,2.2,4.5,1.5,True,False
69,5.6,2.5,3.9,1.1,True,False
70,5.9,3.2,4.8,1.8,True,False
71,6.1,2.8,4.0,1.3,True,False
72,6.3,2.5,4.9,1.5,True,False
73,6.1,2.8,4.7,1.2,True,False
74,6.4,2.9,4.3,1.3,True,False
75,6.6,3.0,4.4,1.4,True,False
76,6.8,2.8,4.8,1.4,True,False
77,0.067,3.0,5.0,1.7,True,False
78,0.06,2.9,4.5,1.5,True,False
79,0.057,2.6,3.5,1.0,True,False
80,0.055,2.4,3.8,1.1,True,False
81,0.055,2.4,3.7,1.0,True,False
82,5.8,2.7,3.9,1.2,True,False
83,6.0,2.8,5.1,1.6,True,False
84,5.4,3.0,4.5,1.5,True,False
85,6.0,3.4,4.5,1.6,True,False
86,6.7,3.1,4.7,1.5,True,False
87,6.3,2.3,4.4,1.3,True,False
88,5.6,3.0,4.1,1.3,True,False
89,5.5,2.5,4.0,1.3,True,False
